,Actors,Awards,Country,Director,Genre,Language,Metascore,Plot,Ranking,Rated,Released,Response,Runtime,Title,Type,Writer,Year,imdbID,imdbRating,imdbVotes
30,"Casper Van Dien, Erika Eleniak, Coolio, Alexandra Kamp",N/A,"Germany, South Africa",Darrell Roodt,"Horror, Sci-Fi",English,N/A,Count Dracula terrorizes the crew of a spaceship.,40,R,09 Aug 2004,True,86 min,Dracula 3000,movie,"Ivan Milborrow, Darrell Roodt",2004,tt0367677,2.0,"4,852"
31,"Kal Penn, Adam Campbell, Jennifer Coolidge, Jayma Mays",2 wins & 3 nominations.,USA,"Jason Friedberg, Aaron Seltzer","Adventure, Comedy",English,17,"A comedic satire of films that are large in scope, reputation and popularity.",41,PG-13,26 Jan 2007,True,86 min,Epic Movie,movie,"Jason Friedberg, Aaron Seltzer",2007,tt0799949,2.3,"90,225"
32,"Christian Slater, Tara Reid, Stephen Dorff, Frank C. Turner",5 wins & 4 nominations.,"Canada, Germany, USA",Uwe Boll,"Horror, Sci-Fi",English,9,"Based on the video game, Alone in the Dark focuses on Edward Carnby, a detective of the paranormal, who slowly unravels mysterious events with deadly results.",42,R,28 Jan 2005,True,96 min,Alone in the Dark,movie,"Elan Mastai, Michael Roesch, Peter Scheerer",2005,tt0369226,2.3,"37,613"
33,"Bill Cosby, Tom Courtenay, Joe Don Baker, Moses Gunn",3 wins & 4 nominations.,USA,Paul Weiland,"Action, Comedy, Sci-Fi",English,N/A,A secret agent is called out of retirement to save the world from an evil genius.,43,PG,18 Dec 1987,True,85 min,Leonard Part 6,movie,"Bill Cosby (story), Jonathan Reynolds",1987,tt0093405,2.2,"7,106"
34,"Robert Dornan, Richard Jordahl, Shirley Olmstead, Richard Masters",N/A,USA,Will Zens,Drama,English,N/A,"A young Air Force lieutenant falls in love with fighter planes while his father, a Congressman and war hero, yearns for him to fly heavy bombers.",44,N/A,25 Mar 1964,True,78 min,The Starfighters,movie,Will Zens,1964,tt0058615,2.3,"2,990"
35,"Joe Don Baker, Rossano Brazzi, Venantino Venantini, Patrizia Pellegrino",N/A,"USA, Italy",Greydon Clark,"Action, Crime, Drama",English,N/A,"Homicidal Sheriff Thomas Jefferson Geronimo is tasked with escorting a mobster to Malta; when the prisoner escapes, Geronimo goes rogue to catch him.",45,R,01 May 1985,True,90 min,Final Justice,movie,Greydon Clark,1985,tt0087258,2.0,"2,702"
36,"Bruce Glover, Denny Sachen, Kerry Dustin, Ernest M. Garcia",N/A,USA,Peter Horak,"Comedy, Horror",English,N/A,"A modern-day updating of the Dracula legend that finds Steven, a good-looking American hero devastated by the death of his girlfriend, wandering through Europe and looking for happiness. A ...",46,N/A,N/A,True,88 min,Die Hard Dracula,movie,Peter Horak,1998,tt0162930,2.0,"3,053"
37,"Arch Hall Jr., Marilyn Manning, Richard Kiel, Arch Hall Sr.",N/A,USA,Arch Hall Sr.,Comedy,English,N/A,"Teenagers stumble across a prehistoric caveman, who goes on a rampage.",47,UNRATED,01 Apr 1965,True,90 min,Eegah,movie,"Bob Wehling (screenplay), Arch Hall Sr. (original story)",1962,tt0055946,2.2,"4,458"
38,"Ben Affleck, Terry Camilleri, David Backus, Lenny Venito",11 wins & 9 nominations.,USA,Martin Brest,"Comedy, Crime, Romance",English,18,"The violent story about how a criminal lesbian, a tough-guy hit-man with a heart of gold, and a mentally challenged man came to be best friends through a hostage.",48,R,01 Aug 2003,True,121 min,Gigli,movie,Martin Brest,2003,tt0299930,2.4,"41,876"
39,"Carlos Leon, Eric Smith, Jacquelyn Morgan, Sherri Saum",4 wins & 3 nominations.,USA,Lisa France,Drama,English,N/A,"ANNE B. REAL is the coming of age story of a young female rapper, who finds her inspiration by reading the Diary of Anne Frank.",51,PG-13,14 Jun 2003,True,91 min,Anne B. Real,movie,"Antonio Macia (story), Antonio Macia (screenplay), Lisa France (screenplay), Luis Moro (screen story)",2003,tt0315775,2.1,"3,519"
40,"Chase Cordell, Leigh Drake, Gregorio Sala, Patrick Wright",N/A,USA,Richard Ashe,"Horror, Sci-Fi",English,N/A,"A young man is transformed into a hideous ""moon beast"" due to a meteor fragment lodged in his body.",52,PG,01 May 1978,True,90 min,Track of the Moon Beast,movie,"Bill Finger, Charles Sinclair",1976,tt0075343,2.1,"2,957"
41,"John Travolta, Barry Pepper, Forest Whitaker, Kim Coates",14 wins & 3 nominations.,USA,Roger Christian,"Action, Adventure, Sci-Fi",English,9,"After enslavement and near extermination by an alien race in the year 3000, humanity begins to fight back.",53,PG-13,12 May 2000,True,118 min,Battlefield Earth,movie,"Corey Mandell (screenplay), J.D. Shapiro (screenplay), L. Ron Hubbard (novel)",2000,tt0185183,2.4,"65,957"
42,"Jody Daniels, Leslie McRay, Tom Pace, Mark Herron",N/A,USA,Ted V. Mikels,"Crime, Drama, Music",English,N/A,"A young woman leaves her job as a waitress and travels to Los Angeles, where she strives to become the top star in the glamorous world of go-go dancing.",54,R,25 Apr 1968,True,94 min,Girl in Gold Boots,movie,"Leighton J. Peatman (screenplay), Art Names (screenplay), John T. Wilson (screenplay)",1968,tt0174685,2.1,"3,163"
